#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-20T11:33:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ632999b530aaa9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/50/catalog
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50&HTTPPRM:&&-ref=VIZ632999b530aaa9&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=SpType&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/50/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-out=HR
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=SpType
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
HR	Name	RAJ2000	DEJ2000	Vmag	SpType
 355	          	01 12 34.0	+45 20 16	 6.11	  M1III
 356	          	01 12 59.5	+30 03 51	 6.19	  G9III+G1V
 357	          	01 16 30.7	+79 54 36	 6.26	  F5V s
 358	          	01 12 23.4	-30 48 08	 6.52	  F7IV
 359	          	01 12 45.4	-37 51 23	 5.92	  F0III
 360	 85Phi Psc	01 13 44.9	+24 35 01	 4.65	  K0III
 361	 86Zet Psc	01 13 43.9	+07 34 31	 5.24	  A7IV
 362	 86Zet Psc	01 13 45.3	+07 34 42	 6.30	  F7V
 363	          	01 14 05.0	+28 31 47	 6.43	  S3+/2-
 364	 87    Psc	01 14 07.6	+16 08 01	 5.98	  B8III
 365	          	01 16 12.1	+71 44 38	 7.83	  K1V
 366	 37    Cet	01 14 24.0	-07 55 23	 5.13	  F5V
 367	 88    Psc	01 14 42.4	+06 59 43	 6.03	 gG6
 368	 38    Cet	01 14 49.2	-00 58 26	 5.70	  F5V
 369	          	01 16 24.5	+48 04 56	 6.61	  B9IIIpSi
 370	   Nu  Phe	01 15 11.1	-45 31 53	 4.96	  F8V
 371	          	01 16 18.8	+33 06 53	 6.02	  K1III
 372	          	01 17 05.1	+44 54 07	 6.34	  K5
 373	 39    Cet	01 16 36.3	-02 30 01	 5.41	  G5IIIe+dA
 374	          	01 17 24.1	+31 44 41	 6.73	  K0
 375	          	01 20 19.5	+77 34 14	 6.31	  G5III
 376	          	01 18 10.2	+47 25 11	 6.25	  K0
 377	   Kap Tuc	01 15 46.1	-68 52 34	 4.86	  F6IV
 378	 89    Psc	01 17 48.0	+03 36 52	 5.16	  A3V
 379	          	01 18 47.0	+37 23 10	 6.46	  A5m
 380	          	01 17 03.6	-66 23 53	 6.24	  A0V
 381	          	01 21 59.1	+76 14 20	 6.38	  F0IVn
 382	 34Phi Cas	01 20 04.9	+58 13 54	 4.98	  F0Ia
 383	 90Ups Psc	01 19 28.0	+27 15 51	 4.76	  A3V
 384	 35    Cas	01 21 05.2	+64 39 30	 6.34	  A2Vnn
 385	 42    Cet	01 19 48.3	-00 30 32	 5.87	  G8III+A7V
 386	          	01 23 46.8	+78 43 33	 6.07	  A0Iab
 387	          	01 20 34.5	-03 14 49	 6.23	  K1III
 388	          	01 20 27.8	-11 14 20	 6.15	  K1III
 389	 91    Psc	01 21 07.4	+28 44 17	 5.23	 gK5
 390	 46Xi  And	01 22 20.4	+45 31 44	 4.88	  K0-IIIb
 391	          	01 23 21.6	+58 08 35	 6.45	  F4V
 392	          	01 22 37.0	+01 43 35	 6.20	  K5IIIab
 393	 43    Cet	01 22 34.8	-00 26 59	 6.49	 gK0
 394	          	01 22 30.5	-19 04 53	 6.35	  F6IV
 395	 47    And	01 23 40.6	+37 42 54	 5.58	  A2Vm
 396	          	01 23 37.5	+34 14 45	 6.29	  G8IV
 397	          	01 23 24.9	+20 28 08	 5.97	  K5
 398	          	01 25 46.5	+70 58 48	 6.49	  A0Vnn
 399	 36Psi Cas	01 25 56.0	+68 07 48	 4.74	  K0III
 400	          	01 23 31.0	-30 56 44	 5.84	  K5III
 401	 44    Cet	01 24 02.5	-08 00 27	 6.21	  F0V
 402	 45The Cet	01 24 01.4	-08 11 00	 3.60	  K0III-IIIb
 403	 37Del Cas	01 25 49.0	+60 14 07	 2.68	  A5III-IV
 404	          	01 24 20.6	-06 54 53	 5.91	  F3V
 405	          	01 24 39.8	-15 39 37	 6.14	  G5
 406	          	01 24 48.7	-02 50 55	 6.15	  G8III
 407	          	01 25 35.7	+23 30 42	 6.18	  F5III
 408	          	01 24 40.8	-41 29 33	 5.42	  K0III
 409	          	01 26 18.6	+43 27 28	 5.96	  F7V
 410	          	01 26 08.7	+34 34 47	 6.31	  F7V
 411	          	01 24 41.9	-44 31 42	 6.26	  K1II
 412	 46    Cet	01 25 37.2	-14 35 56	 4.90	  K2.5IIIb
 413	 93Rho Psc	01 26 15.3	+19 10 20	 5.38	  F2V:
 414	 94    Psc	01 26 41.7	+19 14 25	 5.50	  K1III
 415	          	01 27 06.2	+34 22 39	 6.27	  F7IVb vs
 416	          	01 26 27.3	-00 23 55	 6.41	  K0IV
 417	 48Ome And	01 27 39.4	+45 24 24	 4.83	  F5IV
 418	          	01 27 26.6	+41 06 02	 6.46	  A7m
 419	          	01 26 53.5	+03 32 07	 6.58	  B9V+A8V
 420	          	01 25 05.3	-64 22 10	 5.93	  K5III
 421	 47    Cet	01 26 51.6	-13 03 24	 5.66	  F0IIIDel Del
 422	          	01 27 47.0	+40 20 08	 6.60	  A0III
 423	          	01 26 58.1	-32 32 35	 5.79	  C6II
 424	  1Alp UMi	02 31 48.7	+89 15 51	 2.02	  F7:Ib-II
 425	          	01 27 46.6	-10 54 06	 6.13	  K4III-IV
 426	          	01 28 22.9	+07 57 41	 6.20	  K1III
 427	 38    Cas	01 31 13.8	+70 15 53	 5.81	  F6V
 428	          	01 30 52.3	+66 05 53	 6.14	  A2V s
 429	   Gam Phe	01 28 21.9	-43 19 06	 3.41	  M0-IIIa
 430	 49    And	01 30 06.2	+47 00 26	 5.27	  K0III
 431	          	01 28 43.3	-33 45 49	 6.58	  F0IV
 432	 97    Psc	01 29 52.9	+18 21 20	 6.02	  A4IV
 433	 48    Cet	01 29 36.1	-21 37 46	 5.12	  A1V
 434	 98Mu  Psc	01 30 11.1	+06 08 38	 4.84	  K4III
 435	          	01 29 30.4	-46 45 23	 6.31	  M2III
 436	          	01 30 22.9	-26 12 28	 5.93	  K4III
 437	 99Eta Psc	01 31 29.0	+15 20 45	 3.62	  G7IIIa
 438	          	01 32 07.6	+34 48 00	 6.39	  B7IIIpHgMn
 439	          	01 33 25.8	+58 19 39	 5.70	  K0Ib+B9V
 440	   Del Phe	01 31 15.1	-49 04 22	 3.95	  K0III
 441	          	01 31 43.3	-30 17 00	 5.82	  K0III
 442	 39Chi Cas	01 33 55.9	+59 13 55	 4.71	  G9IIIb
 443	          	01 31 39.1	-45 34 32	 6.17	  A2V
 444	          	01 33 03.5	-09 00 53	 6.59	  A0III
 445	          	01 32 56.0	-36 51 55	 5.51	  K0III
 446	          	01 34 16.6	+37 14 14	 5.88	  B9IV
 447	          	01 32 36.3	-49 43 40	 6.28	  F4V
 448	          	01 33 42.9	-07 01 31	 5.76	  G2IV
 449	          	01 37 22.5	+74 18 03	 6.58	  B9Ve
 450	          	01 34 49.1	+18 27 38	 5.89	  M2IIIab
 451	 49    Cet	01 34 37.8	-15 40 34	 5.63	  A3V
 452	          	01 35 52.5	+41 04 35	 6.38	  K1III
 453	          	01 34 50.7	-31 53 32	 6.12	  K0-1III
 454	          	01 36 27.2	+48 43 22	 5.92	 gK1
 455	101    Psc	01 35 46.4	+14 39 41	 6.22	  B9.5III
 456	 40    Cas	01 38 30.9	+73 02 24	 5.28	  G8III
 457	          	01 35 54.8	+17 26 01	 5.80	  F0IV
 458	 50Ups And	01 36 47.8	+41 24 20	 4.09	  F8V
 459	 50    Cet	01 35 59.0	-15 24 01	 5.42	  K2IIIaBa0.2CN1
 460	          	01 35 15.2	-58 08 22	 6.01	  F2V
 461	          	01 38 07.6	+57 58 39	 5.56	  G5II
 462	   Tau Scl	01 36 08.4	-29 54 27	 5.69	  F2V
 463	102Pi  Psc	01 37 05.9	+12 08 30	 5.57	  F0V
 464	 51    And	01 37 59.6	+48 37 42	 3.57	  K3-III
 465	          	01 38 31.7	+45 24 00	 6.36	  B9pCrEu
 466	          	01 37 37.7	-09 24 14	 6.24	  F7V
 467	          	01 33 39.2	-78 30 17	 6.11	  K0III
 468	          	01 36 44.8	-58 16 15	 6.18	  M3III
 469	 52Chi And	01 39 21.0	+44 23 10	 4.98	  G8III
 470	          	01 40 13.1	+53 52 06	 6.39	  K5III
 471	          	01 38 27.4	-36 31 42	 5.94	  K0IV
 472	   Alp Eri	01 37 42.9	-57 14 12	 0.46	  B3Vpe
 473	          	01 38 51.8	-21 16 31	 5.58	  A4n
 474	          	01 38 50.0	-25 01 19	 6.70	  B9Vn
 475	105    Psc	01 39 40.8	+16 24 21	 5.97	  K2III
 476	          	01 40 39.8	+43 17 52	 5.61	sgA9
 477	 53Tau And	01 40 34.8	+40 34 37	 4.94	  B8III
 478	 43    Cas	01 42 20.5	+68 02 35	 5.59	  A0pSiSr
 479	          	01 38 48.2	-53 26 20	 6.84	  F5IV-V
 480	 42    Cas	01 42 55.9	+70 37 21	 5.18	  B9V
 481	          	01 42 03.0	+61 02 18	 6.71	  B8IIIpSi
 482	          	01 42 17.8	+58 37 40	 6.37	  B8III
 483	          	01 41 47.2	+42 36 49	 4.95	  G1.5V
 484	          	01 41 18.4	+25 44 45	 6.17	  F2III
 485	          	01 41 39.2	+30 02 50	 5.99	  K0III
 486	          	01 39 47.4	-56 11 53	 5.87	  K0V
 487	          	01 39 47.8	-56 11 41	 5.76	  K5V
 488	          	01 42 58.4	+61 25 18	 6.34	  B7II
 489	106Nu  Psc	01 41 25.9	+05 29 15	 4.44	  K3IIIbBa0.1
 490	          	01 42 03.5	+35 14 44	 5.64	  B9IV-V
 491	 44    Cas	01 43 19.7	+60 33 04	 5.78	  B8IIIn
 492	          	01 41 44.7	-11 19 29	 5.75	  F5V+F7V
 493	107    Psc	01 42 29.8	+20 16 07	 5.24	  K1V
 494	          	01 41 27.3	-38 07 59	 6.17	  F2V
 495	          	01 43 16.5	+45 19 20	 6.34	  K2IV
 496	   Phi Per	01 43 39.6	+50 41 19	 4.07	  B2Vep
 497	   Pi  Scl	01 42 08.6	-32 19 37	 5.25	  K0III
 498	          	01 42 03.0	-36 49 57	 5.72	  A1V
 499	          	01 44 17.9	+57 32 11	 6.21	  A3V
 500	          	01 42 43.5	-03 41 25	 4.99	  K3II-III
 501	          	01 41 41.1	-50 02 20	 6.64	  A3V
 502	          	01 44 46.1	+57 05 21	 6.25	  A2V
 503	          	01 43 50.0	+32 11 30	 6.34	  G8III-IV
 504	          	01 44 26.5	+46 08 23	 6.35	  K5III
 505	          	01 41 48.0	-60 47 22	 5.71	  K2-3III
 506	          	01 42 29.3	-53 44 26	 5.52	  F9V
 507	          	01 43 54.8	-04 45 56	 6.19	  K0
 508	109    Psc	01 44 55.8	+20 04 59	 6.27	  G3Va
 509	 52Tau Cet	01 44 04.1	-15 56 15	 3.50	  G8V
 510	110Omi Psc	01 45 23.6	+09 09 28	 4.26	  G8III
 511	          	01 47 44.8	+63 51 08	 5.63	  K0V
 512	          	01 37 55.6	-82 58 30	 5.87	  G2V
 513	          	01 45 59.3	-05 44 00	 5.34	  K4III
 514	   Eps Scl	01 45 38.8	-25 03 09	 5.31	  F1V
 515	          	01 46 35.3	+17 24 47	 6.55	  A9III
 516	   Tau1Hyi	01 41 21.3	-79 08 54	 6.33	  G6-8III
 517	          	01 46 01.0	-27 20 57	 6.39	  F2Vn
 518	          	01 47 48.0	+46 13 47	 6.32	  F6V
 519	          	01 46 05.8	-50 48 59	 5.49	  M3III
 520	          	01 46 06.3	-53 31 19	 5.04	  A1V
 521	          	01 48 38.9	+37 57 10	 5.94	  K0III
 522	  4    Ari	01 48 10.9	+16 57 20	 5.84	  B9.5V
 523	          	01 48 41.6	+32 41 25	 5.79	  F8V
 524	          	01 47 16.8	-41 45 36	 6.18	  K5-M0III
 525	          	01 37 28.0	-84 46 11	 5.69	  G8III
 526	          	01 49 15.7	+47 53 49	 5.82	  A3V
 527	          	01 48 26.0	+03 41 08	 5.91	  G9III
 528	          	01 47 47.8	-37 09 35	 6.32	  K0III
 529	          	01 50 57.1	+51 56 00	 5.90	  F5IV
 530	  1    Ari	01 50 08.5	+22 16 31	 5.86	  K1III+A6V
 531	 53Chi Cet	01 49 35.1	-10 41 11	 4.67	  F3III
 532	          	01 49 19.5	-31 04 22	 6.34	  K2-3III
 533	  1    Per	01 51 59.3	+55 08 51	 5.52	  B1.5V
 534	          	01 50 52.0	+11 02 36	 5.94	  F2V w
 535	          	01 49 48.8	-38 24 14	 6.37	  F8V
 536	  2    Per	01 52 09.4	+50 47 34	 5.79	  B9IIIpHgMn
 537	          	01 50 20.2	-47 48 59	 6.14	  K1IV
 538	          	01 52 50.8	+51 28 29	 6.26	  A3V
 539	 55Zet Cet	01 51 27.6	-10 20 06	 3.73	  K0IIIBa0.1
 540	          	01 53 48.5	+55 35 53	 6.45	  A5m
 541	          	01 50 54.5	-50 12 22	 5.94	  A1Vp
 542	 45Eps Cas	01 54 23.7	+63 40 12	 3.38	  B3III
 543	 55    And	01 53 17.3	+40 43 47	 5.40	 gK1
 544	  2Alp Tri	01 53 04.9	+29 34 44	 3.41	  F6IV
 545	  5Gam1Ari	01 53 31.8	+19 17 45	 4.83	  B9V
 546	  5Gam2Ari	01 53 31.8	+19 17 37	 4.75	  A1pSi
 547	          	01 52 52.1	-16 55 45	 5.80	  F0IIIn
 548	 46Ome Cas	01 56 00.0	+68 41 07	 4.99	  B8III
 549	111Xi  Psc	01 53 33.3	+03 11 15	 4.62	  K0III
 550	   Tau2Hyi	01 47 46.5	-80 10 36	 6.06	  F0IV
 551	          	01 54 53.8	+40 42 07	 6.24	  K2
 552	          	01 54 57.5	+37 07 42	 6.26	  K0
 553	  6Bet Ari	01 54 38.4	+20 48 29	 2.64	  A5V
 554	          	01 53 23.2	-38 35 41	 6.10	  K1II
 555	   Psi Phe	01 53 38.8	-46 18 09	 4.41	  M4III
 556	          	01 55 54.4	+37 16 40	 5.89	 gM0
 557	 56    And	01 56 09.3	+37 15 06	 5.67	  K0III
 558	   Phi Phe	01 54 22.0	-42 29 49	 5.11	  A3V
 559	  7    Ari	01 55 51.0	+23 34 38	 5.74	  K1III
 560	          	01 55 53.8	+01 50 59	 6.01	  F7V+G0V
 561	          	01 58 33.3	+61 41 53	 6.02	  B5III
 562	          	01 57 56.4	+41 41 40	 6.78	  B8III
 563	  8Iot Ari	01 57 21.1	+17 49 03	 5.10	  K1p
 564	          	01 57 43.8	+27 48 16	 5.82	  M2III
 565	 56    Cet	01 56 40.2	-22 31 37	 4.85	  K4III
 566	   Chi Eri	01 55 57.5	-51 36 32	 3.70	  G8IIIbCNIV
 567	          	01 59 38.0	+64 37 17	 5.26	  A0Vn
 568	  3    Per	01 58 33.6	+49 12 15	 5.69	  K0IV
 569	  9Lam Ari	01 57 55.7	+23 35 46	 4.79	  F0V
 570	   Eta2Hyi	01 54 56.1	-67 38 50	 4.69	  G8.5III
 571	          	01 55 46.4	-60 51 41	 6.06	  F0IV-V
 572	          	02 02 57.2	+77 54 59	 6.04	  K0
 573	          	01 57 00.1	-51 45 58	 6.10	  F6-7V
 574	          	01 57 10.0	-47 23 06	 4.83	  G8III
 575	 48    Cas	02 01 57.4	+70 54 25	 4.54	  A3IV
 576	          	01 58 26.7	-33 04 00	 6.35	  K0III
 577	          	01 59 35.7	+21 03 30	 5.87	  K0III-IV
 578	          	01 59 25.9	+12 17 41	 6.09	  A6V
 579	          	02 03 10.5	+73 51 02	 6.23	  A5III
 580	 50    Cas	02 03 26.1	+72 25 17	 3.98	  A2V
 581	 47    Cas	02 05 07.4	+77 16 53	 5.38	  F0Vn
 582	112    Psc	02 00 09.2	+03 05 50	 5.88	  G2IV
 583	 57    Cet	01 59 46.1	-20 49 28	 5.41	  M1III
 584	          	01 57 53.6	-65 25 29	 6.37	  G8II-III
 585	 59Ups Cet	02 00 00.3	-21 04 40	 4.00	  M0III
 586	 52    Cas	02 02 52.7	+64 54 05	 6.00	  A1Vn
 587	          	02 00 26.9	-08 31 25	 5.51	  M3III
 588	          	01 59 38.8	-42 01 50	 5.57	  K1III
 589	 53    Cas	02 03 00.3	+64 23 24	 5.58	  B8Ib
 590	  4    Per	02 02 18.1	+54 29 15	 5.04	  B8III
 591	   Alp Hyi	01 58 46.2	-61 34 11	 2.86	  F0V
 592	 49    Cas	02 05 31.2	+76 06 54	 5.22	  G8III
 593	   Sig Hyi	01 55 50.5	-78 20 54	 6.16	  F5-6IV-V
 594	   Pi  For	02 01 14.7	-30 00 06	 5.35	  G5III
 595	113Alp Psc	02 02 02.8	+02 45 49	 5.23	  A3m
 596	113Alp Psc	02 02 02.8	+02 45 49	 4.33	  A0pSiSr
 597	          	02 09 25.3	+81 17 45	 6.05	  A1V
 598	          	02 04 40.1	+65 06 12	 6.52	  A0V
 599	  3Eps Tri	02 02 58.0	+33 17 02	 5.50	  A2V
 600	          	01 59 41.1	-66 03 59	 6.10	  K1III
 601	          	02 02 35.2	+13 28 36	 5.94	  M2III
 602	   Chi Phe	02 01 42.4	-44 42 49	 5.14	  K5III
 603	 57Gam1And	02 03 54.0	+42 19 47	 2.26	  K3-IIb
 654	          	02 16 51.7	+57 03 19	 6.48	  B1Iab
 604	 57Gam2And	02 03 54.7	+42 19 51	 4.84	  B8V+A0V
 605	 10    Ari	02 03 39.3	+25 56 08	 5.63	  F8IV
 606	          	02 02 28.1	-29 39 54	 6.42	  A3III
 607	 60    Cet	02 03 11.7	+00 07 42	 5.43	  A5III
 608	          	02 02 58.6	-15 18 21	 5.86	  G3IV
 609	          	02 03 42.6	+18 15 12	 6.21	 gK4
 610	 61    Cet	02 03 48.2	-00 20 25	 5.93	  G5II-III+G5V
 611	          	02 03 40.5	-04 06 13	 5.62	  K5I:
 612	   Nu  For	02 04 29.4	-29 17 49	 4.69	  B9.5pSi
 613	 12Kap Ari	02 06 33.9	+22 38 54	 5.03	  A2m
 614	          	02 06 12.3	+08 14 51	 6.31	  M2III:
 615	 11    Ari	02 06 49.2	+25 42 17	 6.15	  B9IV-Vn
 616	          	02 06 29.3	+00 02 06	 6.28	  K0
 617	 13Alp Ari	02 07 10.4	+23 27 45	 2.00	  K2-IIICa-1
 618	          	02 08 40.5	+58 25 25	 5.67	  A1Ia
 619	          	02 08 33.6	+44 27 34	 6.42	  G8III-IV
 620	 58    And	02 08 29.3	+37 51 33	 4.82	  A5IV-V
 621	          	02 10 07.8	+53 50 35	 6.31	  G8III
 622	  4Bet Tri	02 09 32.6	+34 59 14	 3.00	  A5III
 623	 14    Ari	02 09 25.3	+25 56 23	 4.98	  F2III
 624	          	02 09 23.1	+17 13 28	 6.43	  F5V
 625	          	02 08 45.7	-17 46 46	 6.10	  M2III
 626	          	02 13 21.2	+74 01 40	 6.29	  G8III
 627	  5    Per	02 11 29.0	+57 38 45	 6.36	  B5Ia
 628	 59    And	02 10 52.8	+39 02 22	 5.63	  B9V
 629	 59    And	02 10 53.7	+39 02 35	 6.10	  A1Vn
 630	          	02 09 34.8	-24 20 45	 6.48	  F4III
 631	 15    Ari	02 10 37.6	+19 30 01	 5.70	  M3IIIab
 632	          	02 09 09.3	-43 31 00	 5.85	  K1III
 633	 16    Ari	02 11 12.0	+25 56 13	 6.02	 gK4
 634	  5    Tri	02 11 25.0	+31 31 35	 6.23	  A1m
 635	 64    Cet	02 11 21.1	+08 34 11	 5.63	  G0IV
 636	          	02 10 04.9	-43 48 56	 6.32	  G8III
 637	          	02 10 25.6	-50 49 28	 6.12	  K1V
 638	          	02 11 22.2	-10 03 08	 6.01	  F5V
 639	 63    Cet	02 11 35.8	-01 49 31	 5.93	 gG9
 640	 55    Cas	02 14 29.1	+66 31 28	 6.07	  G0II-III+B9V
 641	          	02 13 41.5	+58 33 40	 6.44	  A3Iab
 642	  6    Tri	02 12 22.3	+30 18 11	 4.94	  G5III+F5V
 643	 60    And	02 13 13.3	+44 13 54	 4.83	  K3.5IIIBa0.5:
 644	          	02 12 37.5	+24 10 04	 5.96	  K0
 645	          	02 13 36.3	+51 03 57	 5.31	  G8III:
 646	 17Eta Ari	02 12 48.1	+21 12 39	 5.27	  F5V
 647	          	02 14 02.6	+47 29 03	 6.06	  F4V
 648	 19    Ari	02 13 03.3	+15 16 47	 5.71	  M0III
 649	 65Xi 1Cet	02 13 00.0	+08 50 48	 4.37	  G6II-IIICN-2
 650	 66    Cet	02 12 47.5	-02 23 37	 5.54	  F8V
 651	          	02 13 00.9	-21 00 01	 5.86	  G9III
 652	   Mu  For	02 12 54.5	-30 43 26	 5.28	  B9V
 653	          	02 15 57.9	+47 48 41	 6.33	  G9III-IV
 655	  7    Tri	02 15 56.2	+33 21 32	 5.28	  A0V
 656	 20    Ari	02 15 46.0	+25 46 59	 5.79	  F6IV-V
 657	 21    Ari	02 15 42.8	+25 02 35	 5.58	  F6V
 658	          	02 15 28.3	-09 27 56	 6.55	  A0V
 659	          	02 14 32.0	-41 10 00	 5.91	  G8III
 660	  8Del Tri	02 17 03.2	+34 13 27	 4.87	  G0.5V
 661	  8    Per	02 17 59.9	+57 53 59	 5.75	  K3III
 662	  7    Per	02 18 04.5	+57 31 00	 5.98	  G7III
 663	          	02 17 33.4	+44 18 25	 6.70	  M7-8Se
 664	  9Gam Tri	02 17 18.9	+33 50 50	 4.01	  A1Vnn
 665	          	02 17 10.4	+23 46 04	 6.55	  G9III
 666	 67    Cet	02 16 59.0	-06 25 20	 5.51	  G8.5III
 667	   Pi 1Hyi	02 14 14.7	-67 50 30	 5.55	  M1III
 668	          	02 20 12.9	+64 20 14	 6.60	  B9.5V
 669	 22The Ari	02 18 07.5	+19 54 04	 5.62	  A1Vn
 670	 62    And	02 19 16.8	+47 22 48	 5.30	  A1V
 671	          	02 19 10.9	+46 28 21	 6.21	  A4V
 672	          	02 18 01.4	+01 45 28	 5.58	  G0.5IVb
 673	          	02 19 22.7	+48 57 19	 6.37	  F4V
 674	   Phi Eri	02 16 30.6	-51 30 44	 3.56	  B8V-IV
 675	 10    Tri	02 18 57.0	+28 38 33	 5.03	  A2V
 676	          	02 18 58.0	+23 10 04	 6.46	  A1V+F3III
 677	          	02 19 37.3	+39 50 06	 6.63	  B8V
 678	   Pi 2Hyi	02 15 28.5	-67 44 47	 5.69	  K2III
 679	          	02 20 41.4	+47 18 39	 6.11	  B5V
 680	          	02 20 04.4	+30 11 18	 6.47	  K0
 681	 68Omi Cet	02 19 20.7	-02 58 39	 3.04	  M7IIIe+Bep
 682	 63    And	02 20 58.2	+50 09 05	 5.59	  B9pSi
 683	          	02 18 58.5	-25 56 44	 6.34	  G5V
 684	          	02 19 40.8	-04 20 44	 6.50	  A3V
 685	  9    Per	02 22 21.4	+55 50 44	 5.17	  A2Ia
 686	          	02 19 24.7	-41 50 54	 6.37	  K2III
 687	          	02 22 50.3	+41 23 47	 5.82	  F0III-IV
 688	          	02 19 54.3	-55 56 41	 5.81	  K5III
 689	 69    Cet	02 21 56.6	+00 23 45	 5.28	  M2III
 690	          	02 23 51.8	+55 21 52	 6.28	  F7Ib
 691	 70    Cet	02 22 12.4	-00 53 06	 5.42	  F0Vn
 692	          	02 22 01.4	-10 46 40	 5.46	  F0V
 693	          	02 22 05.0	-17 39 44	 5.87	  K0III
 694	 64    And	02 24 24.9	+50 00 24	 5.19	  G8III
 695	   Kap For	02 22 32.6	-23 48 59	 5.20	  G0Va
 696	 10    Per	02 25 16.0	+56 36 36	 6.25	  B2Ia
 697	          	02 22 57.8	-18 21 16	 6.22	  G5
 698	          	02 22 11.8	-43 12 00	 6.31	  K0III
 699	 65    And	02 25 37.4	+50 16 43	 4.71	  K4+III
 700	          	02 23 06.5	-37 34 35	 6.53	  K2III
 701	          	02 22 54.6	-51 05 32	 5.92	  A5V
 702	 24Xi  Ari	02 24 49.0	+10 36 38	 5.47	  B7IV
 703	          	02 24 20.1	-25 50 51	 6.44	  K3III
 704	 71    Cet	02 24 58.4	-02 46 48	 6.33	  A0III
 705	   Del Hyi	02 21 44.9	-68 39 34	 4.09	  A3V
 706	          	02 24 33.8	-40 50 26	 6.18	  G2V
 707	   Iot Cas	02 29 04.0	+67 24 09	 4.52	  A5pSr
 708	 72Rho Cet	02 25 57.0	-12 17 26	 4.89	  B9.5Vn
 709	 66    And	02 27 51.8	+50 34 11	 6.12	  F4V
 710	          	02 26 00.3	-15 20 28	 5.83	  A6VpSrCr
 711	          	02 27 07.0	+27 00 48	 6.18	  K5III
 712	 11    Tri	02 27 27.7	+31 48 05	 5.54	 gK1
 713	          	02 26 35.2	-20 02 34	 5.88	  K2III
 714	   Lam Hor	02 24 53.9	-60 18 43	 5.35	  F2III
 715	   Kap Hyi	02 22 52.3	-73 38 45	 5.01	  K1III
 716	          	02 29 25.0	+55 32 11	 6.51	  A2pShell
 717	 12    Tri	02 28 10.0	+29 40 10	 5.29	  F0III
 718	 73Xi 2Cet	02 28 09.5	+08 27 36	 4.28	  B9III
 719	          	02 28 00.0	+01 57 39	 6.45	  K0III
 720	 13    Tri	02 28 48.5	+29 55 55	 5.89	  G0V
 721	   Kap Eri	02 26 59.1	-47 42 14	 4.25	  B5IV
 722	          	02 25 26.3	-66 29 41	 6.41	  M5III
 723	          	02 29 13.6	+23 28 08	 6.19	  A5m
 724	   Phi For	02 28 01.7	-33 48 40	 5.14	  A2V
 725	          	02 29 35.3	+09 33 57	 6.07	  K2III
 726	          	02 30 16.6	+33 50 02	 6.25	  K1III
 727	          	02 28 35.4	-31 06 09	 6.11	  K2IIICNII
 728	          	02 30 32.4	+25 14 06	 5.92	  F6IV
 729	 26    Ari	02 30 38.4	+19 51 19	 6.15	  A9V
 730	          	02 29 55.4	-22 40 58	 6.77	  A9V
 731	 27    Ari	02 30 54.4	+17 42 14	 6.23	  G5III-IV
 732	          	02 30 45.2	+00 15 19	 6.00	  A7III-IV s
 733	          	02 30 13.8	-25 11 11	 6.51	 dA9n
 734	          	02 28 04.4	-64 17 59	 6.37	  A0V
 735	          	02 30 32.8	-22 32 44	 6.10	  M1III
 736	 14    Tri	02 32 06.2	+36 08 50	 5.15	  K5III
 737	          	02 31 30.1	+02 16 02	 5.25	  K3III
 738	          	02 32 52.5	+34 32 33	 5.83	  K0III
 739	 75    Cet	02 32 09.4	-01 02 06	 5.35	 gG3
